Frame,Drift_Error_cm,Status,GridX,GridY
371,10.3162,OUTLIER,0,0
372,10.2083,OUTLIER,0,0
373,10.2033,OUTLIER,0,0
374,10.7245,OUTLIER,0,0
375,9.11307,OUTLIER,0,0
376,12.8653,OUTLIER,0,0
377,13.4475,OUTLIER,0,0
378,10.6967,OUTLIER,0,0
379,11.0227,OUTLIER,0,0
380,11.0935,OUTLIER,0,0
381,11.1438,OUTLIER,0,0
382,11.5767,OUTLIER,0,0
383,189.428,OUTLIER,0,0
384,11.7513,OUTLIER,0,0
